state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
Pennsylvania,'(-5000.0, -2500.0]','(0.0, 12.0]','critical/other existing credit',radio/tv,?,'[0.0, 0.01)',>=7,?,'male single',none,4,'real estate','(60.0, 70.0]',none,own,2,skilled,1,yes,no,bad,05/1994,no
Pennsylvania,'(50.0, 100.0]','(36.0, 48.0]','existing paid',radio/tv,'(5000.0, 7500.0]','[0.01, 20.0)',1<=X<4,2,'female div/dep/mar',none,2,?,'(20.0, 30.0]',none,own,1,skilled,1,none,no,bad,05/1994,no
Pennsylvania,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',education,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,2,'male single',?,?,'real estate','(40.0, 50.0]',none,?,1,'unskilled resident',2,none,no,bad,05/1994,no
Pennsylvania,'(-5000.0, -2500.0]','(36.0, 48.0]','existing paid',furniture/equipment,'(7500.0, 10000.0]','[50.0, 100.0)',4<=X<7,2,'male single',guarantor,4,'life insurance','(40.0, 50.0]',none,'for free',1,skilled,2,?,no,bad,05/1994,no
Pennsylvania,'(-10000.0, -7500.0]','(12.0, 24.0]','delayed previously',?,'(2500.0, 5000.0]','[20.0, 50.0)',1<=X<4,3,'male single',none,4,'no known property','(50.0, 60.0]',none,'for free',2,skilled,2,none,no,good,05/1994,no
Pennsylvania,'(-0.01, 0.01]','(24.0, 36.0]','existing paid',education,'(7500.0, 10000.0]','[0.0, 0.01)',1<=X<4,?,'male single',none,4,'no known property','(30.0, 40.0]',none,'for free',1,'unskilled resident',2,yes,yes,bad,05/1994,yes
Pennsylvania,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',?,'(2500.0, 5000.0]','[0.0, 0.01)',>=7,3,'male single',none,4,'life insurance',?,none,?,1,skilled,1,none,no,good,05/1994,no
Pennsylvania,'(20.0, 50.0]','(24.0, 36.0]',?,'used car','(5000.0, 7500.0]','[20.0, 50.0)',1<=X<4,2,'male single',none,2,car,'(30.0, 40.0]',none,?,1,'high qualif/self emp/mgmt',?,yes,yes,bad,05/1994,yes
Pennsylvania,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',?,2,'male div/sep',none,4,'real estate','(60.0, 70.0]',none,own,?,'unskilled resident',1,none,yes,good,05/1994,yes
'Rhodes Island','(100.0, 500.0]','(24.0, 36.0]','critical/other existing credit','new car','(5000.0, 7500.0]','[50.0, 100.0)',unemployed,4,'male mar/wid',none,2,car,'(20.0, 30.0]',none,own,2,'high qualif/self emp/mgmt',1,none,no,bad,05/1994,no
'South Carolina','(100.0, 500.0]','(0.0, 12.0]','existing paid','new car','(1000.0, 2500.0]','[50.0, 100.0)',<1,3,'female div/dep/mar',none,?,car,?,?,rent,1,skilled,1,none,yes,bad,05/1994,yes
'South Carolina','(-2500.0, -1000.0]','(36.0, 48.0]','existing paid',business,'(2500.0, 5000.0]','[50.0, 100.0)',<1,3,'female div/dep/mar',none,4,'life insurance','(20.0, 30.0]',none,rent,?,skilled,?,none,yes,good,05/1994,yes
'South Carolina','(0.01, 20.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[50.0, 100.0)',?,1,'female div/dep/mar',none,1,car,'(20.0, 30.0]',none,own,1,skilled,1,yes,yes,bad,05/1994,yes
'South Carolina','(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,?,car,'(50.0, 60.0]',none,own,2,'unskilled resident',1,none,no,good,05/1994,no
'South Carolina','(-7500.0, -5000.0]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[20.0, 50.0)',1<=X<4,2,?,none,4,car,?,none,rent,?,skilled,1,none,yes,good,05/1994,yes
'South Carolina','(-1000.0, -500.0]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[100.0, 500.0)',?,4,'female div/dep/mar',none,?,car,'(30.0, 40.0]',none,own,1,'unskilled resident',1,none,yes,good,05/1994,yes
'South Carolina','(-0.01, 0.01]',?,'critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',?,4,'male single',none,4,'life insurance',?,none,own,2,skilled,1,none,yes,good,05/1994,yes
'South Carolina','(-10000.0, -7500.0]','(24.0, 36.0]','no credits/all paid',business,'(7500.0, 10000.0]','[0.0, 0.01)',<1,?,'male single',none,3,car,'(20.0, 30.0]',bank,own,3,skilled,1,none,yes,bad,05/1994,yes
'South Carolina','(50.0, 100.0]','(12.0, 24.0]','existing paid','used car',?,'[0.01, 20.0)',>=7,4,'female div/dep/mar',none,2,'no known property',?,none,'for free',?,'high qualif/self emp/mgmt',?,yes,yes,bad,05/1994,yes
'South Carolina','(-0.01, 0.01]','(12.0, 24.0]',?,radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',>=7,3,'male single',?,2,car,'(30.0, 40.0]',none,own,1,skilled,?,yes,yes,bad,05/1994,yes
'South Carolina','(-0.01, 0.01]',?,'critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,4,car,'(40.0, 50.0]',none,own,3,skilled,1,yes,yes,good,05/1994,yes
'South Carolina','(-1000.0, -500.0]','(0.0, 12.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[500.0, 1000.0)',1<=X<4,2,'male single',none,3,'real estate','(40.0, 50.0]',none,rent,1,skilled,2,none,yes,good,05/1994,yes
'South Carolina','(-7500.0, -5000.0]','(0.0, 12.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[20.0, 50.0)',?,1,'male single',?,3,'real estate','(40.0, 50.0]',none,rent,2,?,2,none,yes,bad,05/1994,yes
'South Carolina','(100.0, 500.0]','(0.0, 12.0]','critical/other existing credit','used car','(1000.0, 2500.0]','[100.0, 500.0)',<1,3,'male single',none,4,?,'(40.0, 50.0]',none,own,1,skilled,1,?,yes,good,05/1994,yes
'South Carolina','(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',?,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,2,'male mar/wid',none,1,car,'(20.0, 30.0]',none,own,2,skilled,1,none,yes,bad,05/1994,yes
'South Carolina','(-0.01, 0.01]','(0.0, 12.0]','existing paid',furniture/equipment,?,'[0.0, 0.01)',1<=X<4,1,'male single',none,?,'real estate','(30.0, 40.0]',bank,own,1,'unskilled resident',1,yes,no,good,06/1994,no
'South Carolina','(-0.01, 0.01]','(0.0, 12.0]','no credits/all paid',radio/tv,'(200.0, 500.0]','[0.0, 0.01)',?,?,'male mar/wid',none,4,car,'(30.0, 40.0]',none,own,1,'unskilled resident',1,none,no,good,06/1994,no
'South Carolina','(2500.0, 5000.0]','(0.0, 12.0]','all paid',radio/tv,'(200.0, 500.0]','[2500.0, 5000.0)',1<=X<4,3,'female div/dep/mar',none,?,'real estate','(40.0, 50.0]',none,rent,2,?,?,none,no,good,06/1994,no
'South Carolina','(100.0, 500.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[50.0, 100.0)',1<=X<4,?,'male single',guarantor,2,'real estate','(30.0, 40.0]',none,own,?,?,1,none,no,good,06/1994,no
'South Carolina','(-5000.0, -2500.0]','(48.0, 60.0]','delayed previously',business,'(5000.0, 7500.0]','[20.0, 50.0)',>=7,?,'male single',none,4,'no known property','(60.0, 70.0]',?,own,2,skilled,1,yes,yes,good,06/1994,yes
'South Carolina','(-0.01, 0.01]','(12.0, 24.0]','existing paid',business,'(1000.0, 2500.0]','[0.0, 0.01)',?,3,'male mar/wid',?,3,'real estate','(30.0, 40.0]',bank,own,1,skilled,1,yes,no,good,06/1994,no
'South Carolina','(-7500.0, -5000.0]','(12.0, 24.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[0.01, 20.0)',?,2,'male single',none,2,car,'(20.0, 30.0]',stores,own,1,skilled,1,none,yes,good,06/1994,yes
'South Carolina','(50.0, 100.0]','(12.0, 24.0]','existing paid','new car','(5000.0, 7500.0]','[100.0, 500.0)',1<=X<4,2,'male single',none,2,car,?,none,own,2,skilled,1,yes,no,bad,06/1994,no
'South Dakota','(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',business,'(1000.0, 2500.0]','[0.0, 0.01)',?,4,'male single',none,4,?,'(50.0, 60.0]',none,rent,1,'unskilled resident',1,?,yes,bad,06/1994,yes
'South Dakota','(500.0, 1000.0]','(0.0, 12.0]','existing paid',furniture/equipment,?,'[20.0, 50.0)',<1,4,'female div/dep/mar',none,1,'life insurance','(30.0, 40.0]',bank,?,1,'high qualif/self emp/mgmt',1,?,yes,good,06/1994,yes
Tennessee,'(100.0, 500.0]','(36.0, 48.0]','critical/other existing credit',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',<1,4,'male single',none,2,'life insurance','(20.0, 30.0]',none,own,2,?,1,none,no,good,06/1994,no
Tennessee,'(-0.01, 0.01]','(36.0, 48.0]','critical/other existing credit',education,'(5000.0, 7500.0]','[0.0, 0.01)',1<=X<4,1,'male single',none,3,'no known property','(30.0, 40.0]',bank,'for free',1,skilled,1,?,yes,good,06/1994,yes
Tennessee,'(5000.0, 7500.0]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.01, 20.0)',?,4,'male single','co applicant',2,'real estate','(30.0, 40.0]',stores,own,1,skilled,1,none,yes,bad,06/1994,yes
Tennessee,'(5000.0, 7500.0]','(0.0, 12.0]','existing paid','domestic appliance','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,2,'male single',none,?,car,'(30.0, 40.0]',none,own,1,skilled,1,yes,yes,good,06/1994,yes
Tennessee,'(20.0, 50.0]','(0.0, 12.0]','existing paid',radio/tv,'(200.0, 500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,3,'real estate','(20.0, 30.0]',none,own,?,skilled,1,none,no,good,06/1994,no
Tennessee,'(-0.01, 0.01]','(24.0, 36.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',?,4,'male single',none,2,car,'(20.0, 30.0]',bank,own,?,'high qualif/self emp/mgmt',?,none,no,good,06/1994,no
Tennessee,'(100.0, 500.0]',?,'existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,3,'male div/sep',none,1,car,'(20.0, 30.0]',none,own,?,skilled,1,yes,no,bad,06/1994,no
Tennessee,'(100.0, 500.0]','(12.0, 24.0]','delayed previously',repairs,'(5000.0, 7500.0]','[20.0, 50.0)',1<=X<4,2,'male single',none,4,'real estate','(40.0, 50.0]',none,own,1,'unskilled resident',2,?,yes,good,06/1994,yes
Tennessee,'(-1000.0, -500.0]','(24.0, 36.0]',?,'used car','(5000.0, 7500.0]','[100.0, 500.0)',4<=X<7,1,'male mar/wid',none,?,car,'(20.0, 30.0]',none,rent,2,skilled,1,none,yes,bad,06/1994,yes
Tennessee,'(-10000.0, -7500.0]','(36.0, 48.0]','critical/other existing credit','used car','(5000.0, 7500.0]','[0.01, 20.0)',>=7,4,'female div/dep/mar',none,4,'no known property','(50.0, 60.0]',stores,'for free',2,'unskilled resident',1,none,yes,bad,06/1994,yes
Tennessee,'(-0.01, 0.01]','(0.0, 12.0]',?,'new car','(1000.0, 2500.0]','[0.0, 0.01)',<1,4,'female div/dep/mar',none,4,car,'(30.0, 40.0]',none,own,2,'high qualif/self emp/mgmt',1,none,no,good,06/1994,no
Tennessee,'(-0.01, 0.01]','(24.0, 36.0]',?,radio/tv,?,'[0.0, 0.01)',>=7,4,'male single',none,4,car,'(30.0, 40.0]',none,own,1,skilled,1,none,yes,good,06/1994,yes
Tennessee,'(-2500.0, -1000.0]','(0.0, 12.0]','existing paid','used car',?,'[0.0, 0.01)',unemployed,1,'female div/dep/mar',none,2,?,'(20.0, 30.0]',none,rent,1,'unemp/unskilled non res',1,yes,yes,bad,06/1994,yes
Texas,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit','new car','(5000.0, 7500.0]','[0.0, 0.01)',1<=X<4,1,'male single',none,4,'life insurance','(30.0, 40.0]',none,?,2,'unskilled resident',1,none,no,good,06/1994,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]',?,radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',?,4,'female div/dep/mar','co applicant',2,'real estate','(20.0, 30.0]',none,own,1,skilled,?,none,no,good,06/1994,no
Texas,'(100.0, 500.0]','(12.0, 24.0]','delayed previously',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',<1,4,'male single',none,2,?,'(20.0, 30.0]',bank,own,1,'unskilled resident',1,none,yes,good,06/1994,yes
Texas,'(100.0, 500.0]','(24.0, 36.0]',?,'used car','(5000.0, 7500.0]','[20.0, 50.0)',>=7,1,'male single',none,2,car,'(20.0, 30.0]',none,own,?,'high qualif/self emp/mgmt',1,yes,no,bad,06/1994,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,3,'male single',none,2,car,'(20.0, 30.0]',none,own,1,skilled,1,none,no,good,06/1994,no
