,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
0,Pennsylvania,-2589.19,6.0,'critical/other existing credit',radio/tv,,0.0,>=7,,'male single',none,4.0,'real estate',67.0,none,own,2.0,skilled,1.0,yes,no,bad,05/1994,no
1,Pennsylvania,53.51,48.0,'existing paid',radio/tv,5951.0,2.52,1<=X<4,2.0,'female div/dep/mar',none,2.0,,22.0,none,own,1.0,skilled,1.0,none,no,bad,05/1994,no
2,Pennsylvania,0.0,12.0,'critical/other existing credit',education,2096.0,0.0,4<=X<7,2.0,'male single',,,'real estate',49.0,none,,1.0,'unskilled resident',2.0,none,no,bad,05/1994,no
3,Pennsylvania,-4695.81,42.0,'existing paid',furniture/equipment,7882.0,92.15,4<=X<7,2.0,'male single',guarantor,4.0,'life insurance',45.0,none,'for free',1.0,skilled,2.0,,no,bad,05/1994,no
4,Pennsylvania,-9540.2,24.0,'delayed previously',,4870.0,39.81,1<=X<4,3.0,'male single',none,4.0,'no known property',53.0,none,'for free',2.0,skilled,2.0,none,no,good,05/1994,no
5,Pennsylvania,0.0,36.0,'existing paid',education,9055.0,0.0,1<=X<4,,'male single',none,4.0,'no known property',35.0,none,'for free',1.0,'unskilled resident',2.0,yes,yes,bad,05/1994,yes
6,Pennsylvania,0.0,24.0,'existing paid',,2835.0,0.0,>=7,3.0,'male single',none,4.0,'life insurance',,none,,1.0,skilled,1.0,none,no,good,05/1994,no
7,Pennsylvania,38.12,36.0,,'used car',6948.0,20.69,1<=X<4,2.0,'male single',none,2.0,car,35.0,none,,1.0,'high qualif/self emp/mgmt',,yes,yes,bad,05/1994,yes
8,Pennsylvania,0.0,12.0,'existing paid',radio/tv,3059.0,0.0,,2.0,'male div/sep',none,4.0,'real estate',61.0,none,own,,'unskilled resident',1.0,none,yes,good,05/1994,yes
9,Rhodes Island,101.81,30.0,'critical/other existing credit','new car',5234.0,85.64,unemployed,4.0,'male mar/wid',none,2.0,car,28.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,no,bad,05/1994,no
10,South Carolina,130.75,12.0,'existing paid','new car',1295.0,99.76,<1,3.0,'female div/dep/mar',none,,car,,,rent,1.0,skilled,1.0,none,yes,bad,05/1994,yes
11,South Carolina,-1950.83,48.0,'existing paid',business,4308.0,69.51,<1,3.0,'female div/dep/mar',none,4.0,'life insurance',24.0,none,rent,,skilled,,none,yes,good,05/1994,yes
12,South Carolina,15.12,12.0,'existing paid',radio/tv,1567.0,89.2,,1.0,'female div/dep/mar',none,1.0,car,22.0,none,own,1.0,skilled,1.0,yes,yes,bad,05/1994,yes
13,South Carolina,0.0,24.0,'critical/other existing credit','new car',1199.0,0.0,>=7,4.0,'male single',none,,car,60.0,none,own,2.0,'unskilled resident',1.0,none,no,good,05/1994,no
14,South Carolina,-6002.72,15.0,'existing paid','new car',1403.0,42.11,1<=X<4,2.0,,none,4.0,car,,none,rent,,skilled,1.0,none,yes,good,05/1994,yes
15,South Carolina,-787.62,24.0,'existing paid',radio/tv,1282.0,247.0,,4.0,'female div/dep/mar',none,,car,32.0,none,own,1.0,'unskilled resident',1.0,none,yes,good,05/1994,yes
16,South Carolina,0.0,,'critical/other existing credit',radio/tv,2424.0,0.0,,4.0,'male single',none,4.0,'life insurance',,none,own,2.0,skilled,1.0,none,yes,good,05/1994,yes
17,South Carolina,-9440.86,30.0,'no credits/all paid',business,8072.0,0.0,<1,,'male single',none,3.0,car,25.0,bank,own,3.0,skilled,1.0,none,yes,bad,05/1994,yes
18,South Carolina,64.89,24.0,'existing paid','used car',,2.66,>=7,4.0,'female div/dep/mar',none,2.0,'no known property',,none,'for free',,'high qualif/self emp/mgmt',,yes,yes,bad,05/1994,yes
19,South Carolina,0.0,24.0,,radio/tv,3430.0,0.0,>=7,3.0,'male single',,2.0,car,31.0,none,own,1.0,skilled,,yes,yes,bad,05/1994,yes
20,South Carolina,0.0,,'critical/other existing credit','new car',2134.0,0.0,1<=X<4,4.0,'male single',none,4.0,car,48.0,none,own,3.0,skilled,1.0,yes,yes,good,05/1994,yes
21,South Carolina,-864.51,6.0,'existing paid',radio/tv,2647.0,742.31,1<=X<4,2.0,'male single',none,3.0,'real estate',44.0,none,rent,1.0,skilled,2.0,none,yes,good,05/1994,yes
22,South Carolina,-5730.5,10.0,'critical/other existing credit','new car',2241.0,41.19,,1.0,'male single',,3.0,'real estate',48.0,none,rent,2.0,,2.0,none,yes,bad,05/1994,yes
23,South Carolina,104.66,12.0,'critical/other existing credit','used car',1804.0,438.95,<1,3.0,'male single',none,4.0,,44.0,none,own,1.0,skilled,1.0,,yes,good,05/1994,yes
