state,checking_amt,credit_history,purpose,credit_amount,savings,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,own_telephone,foreign_worker,class
Pennsylvania,-2589.19,'critical/other existing credit',radio/tv,,0.0,>=7,'male single',none,'real estate',none,own,yes,no,bad
Pennsylvania,53.51,'existing paid',radio/tv,5951.0,2.52,1<=X<4,'female div/dep/mar',none,,none,own,none,no,bad
Pennsylvania,0.0,'critical/other existing credit',education,2096.0,0.0,4<=X<7,'male single',,'real estate',none,,none,no,bad
Pennsylvania,-4695.81,'existing paid',furniture/equipment,7882.0,92.15,4<=X<7,'male single',guarantor,'life insurance',none,'for free',,no,bad
Pennsylvania,-9540.2,'delayed previously',,4870.0,39.81,1<=X<4,'male single',none,'no known property',none,'for free',none,no,good
Pennsylvania,0.0,'existing paid',education,9055.0,0.0,1<=X<4,'male single',none,'no known property',none,'for free',yes,yes,bad
Pennsylvania,0.0,'existing paid',,2835.0,0.0,>=7,'male single',none,'life insurance',none,,none,no,good
Pennsylvania,38.12,,'used car',6948.0,20.69,1<=X<4,'male single',none,car,none,,yes,yes,bad
Pennsylvania,0.0,'existing paid',radio/tv,3059.0,0.0,,'male div/sep',none,'real estate',none,own,none,yes,good
Rhodes Island,101.81,'critical/other existing credit','new car',5234.0,85.64,unemployed,'male mar/wid',none,car,none,own,none,no,bad
South Carolina,130.75,'existing paid','new car',1295.0,99.76,<1,'female div/dep/mar',none,car,,rent,none,yes,bad
South Carolina,-1950.83,'existing paid',business,4308.0,69.51,<1,'female div/dep/mar',none,'life insurance',none,rent,none,yes,good
South Carolina,15.12,'existing paid',radio/tv,1567.0,89.2,,'female div/dep/mar',none,car,none,own,yes,yes,bad
South Carolina,0.0,'critical/other existing credit','new car',1199.0,0.0,>=7,'male single',none,car,none,own,none,no,good
South Carolina,-6002.72,'existing paid','new car',1403.0,42.11,1<=X<4,,none,car,none,rent,none,yes,good
South Carolina,-787.62,'existing paid',radio/tv,1282.0,247.0,,'female div/dep/mar',none,car,none,own,none,yes,good
South Carolina,0.0,'critical/other existing credit',radio/tv,2424.0,0.0,,'male single',none,'life insurance',none,own,none,yes,good
South Carolina,-9440.86,'no credits/all paid',business,8072.0,0.0,<1,'male single',none,car,bank,own,none,yes,bad
South Carolina,64.89,'existing paid','used car',,2.66,>=7,'female div/dep/mar',none,'no known property',none,'for free',yes,yes,bad
South Carolina,0.0,,radio/tv,3430.0,0.0,>=7,'male single',,car,none,own,yes,yes,bad
South Carolina,0.0,'critical/other existing credit','new car',2134.0,0.0,1<=X<4,'male single',none,car,none,own,yes,yes,good
South Carolina,-864.51,'existing paid',radio/tv,2647.0,742.31,1<=X<4,'male single',none,'real estate',none,rent,none,yes,good
South Carolina,-5730.5,'critical/other existing credit','new car',2241.0,41.19,,'male single',,'real estate',none,rent,none,yes,bad
South Carolina,104.66,'critical/other existing credit','used car',1804.0,438.95,<1,'male single',none,,none,own,,yes,good
South Carolina,0.0,'critical/other existing credit',,2069.0,0.0,1<=X<4,'male mar/wid',none,car,none,own,none,yes,bad
South Carolina,0.0,'existing paid',furniture/equipment,,0.0,1<=X<4,'male single',none,'real estate',bank,own,yes,no,good
South Carolina,0.0,'no credits/all paid',radio/tv,426.0,0.0,,'male mar/wid',none,car,none,own,none,no,good
South Carolina,2577.11,'all paid',radio/tv,409.0,2599.63,1<=X<4,'female div/dep/mar',none,'real estate',none,rent,none,no,good
South Carolina,184.53,'existing paid',radio/tv,2415.0,67.24,1<=X<4,'male single',guarantor,'real estate',none,own,none,no,good
South Carolina,-3479.0,'delayed previously',business,6836.0,26.85,>=7,'male single',none,'no known property',,own,yes,yes,good
South Carolina,0.0,'existing paid',business,1913.0,0.0,,'male mar/wid',,'real estate',bank,own,yes,no,good
South Carolina,-5072.05,'existing paid',furniture/equipment,4020.0,12.54,,'male single',none,car,stores,own,none,yes,good
South Carolina,65.97,'existing paid','new car',5866.0,265.12,1<=X<4,'male single',none,car,none,own,yes,no,bad
South Dakota,0.0,'critical/other existing credit',business,1264.0,0.0,,'male single',none,,none,rent,,yes,bad
South Dakota,978.69,'existing paid',furniture/equipment,,41.34,<1,'female div/dep/mar',none,'life insurance',bank,,,yes,good
Tennessee,163.0,'critical/other existing credit',radio/tv,4746.0,0.0,<1,'male single',none,'life insurance',none,own,none,no,good
Tennessee,0.0,'critical/other existing credit',education,6110.0,0.0,1<=X<4,'male single',none,'no known property',bank,'for free',,yes,good
Tennessee,6976.08,'existing paid',radio/tv,2100.0,4.69,,'male single','co applicant','real estate',stores,own,none,yes,bad
Tennessee,5588.7,'existing paid','domestic appliance',1225.0,0.0,1<=X<4,'male single',none,car,none,own,yes,yes,good
Tennessee,47.76,'existing paid',radio/tv,458.0,0.0,1<=X<4,'male single',none,'real estate',none,own,none,no,good
Tennessee,0.0,'existing paid',radio/tv,2333.0,0.0,,'male single',none,car,bank,own,none,no,good
Tennessee,150.32,'existing paid',radio/tv,1158.0,0.0,1<=X<4,'male div/sep',none,car,none,own,yes,no,bad
Tennessee,158.94,'delayed previously',repairs,6204.0,24.41,1<=X<4,'male single',none,'real estate',none,own,,yes,good
Tennessee,-913.07,,'used car',6187.0,224.1,4<=X<7,'male mar/wid',none,car,none,rent,none,yes,bad
Tennessee,-8599.14,'critical/other existing credit','used car',6143.0,14.18,>=7,'female div/dep/mar',none,'no known property',stores,'for free',none,yes,bad
Tennessee,0.0,,'new car',1393.0,0.0,<1,'female div/dep/mar',none,car,none,own,none,no,good
Tennessee,0.0,,radio/tv,,0.0,>=7,'male single',none,car,none,own,none,yes,good
Tennessee,-1631.58,'existing paid','used car',,0.0,unemployed,'female div/dep/mar',none,,none,rent,yes,yes,bad
Texas,0.0,'critical/other existing credit','new car',7228.0,0.0,1<=X<4,'male single',none,'life insurance',none,,none,no,good
Texas,0.0,,radio/tv,2073.0,0.0,,'female div/dep/mar','co applicant','real estate',none,own,none,no,good
Texas,166.03,'delayed previously',furniture/equipment,2333.0,0.0,<1,'male single',none,,bank,own,none,yes,good
Texas,180.59,,'used car',5965.0,42.7,>=7,'male single',none,car,none,own,yes,no,bad
Texas,0.0,'existing paid',radio/tv,1262.0,0.0,1<=X<4,'male single',none,car,none,own,none,no,good
Texas,0.0,'existing paid','used car',3378.0,0.0,1<=X<4,'male single',none,,none,own,yes,no,good
Texas,127.36,'delayed previously','new car',2225.0,41.6,>=7,'male single',none,'no known property',bank,'for free',,yes,good
Texas,0.0,'all paid','new car',783.0,0.0,,'male single',guarantor,'real estate',,own,none,yes,good
Texas,114.16,'existing paid',radio/tv,6468.0,0.0,unemployed,,none,'no known property',none,own,yes,no,good
Texas,0.0,'critical/other existing credit',radio/tv,9566.0,0.0,1<=X<4,'female div/dep/mar',,car,,own,none,no,bad
Texas,3235.45,,'new car',1961.0,65.36,,'female div/dep/mar',none,car,none,own,none,yes,good
Texas,-9972.01,'critical/other existing credit',furniture/equipment,6229.0,35.8,<1,'female div/dep/mar','co applicant','no known property',none,rent,,yes,good
Texas,75.44,'existing paid',business,1391.0,65.13,1<=X<4,'male mar/wid',,'real estate',bank,own,yes,yes,good
Texas,158.6,'critical/other existing credit',radio/tv,1537.0,0.0,>=7,'male single',guarantor,'real estate',none,own,yes,yes,bad
Texas,163.79,'no credits/all paid',business,1953.0,78.33,>=7,'male single',none,'no known property',none,'for free',yes,no,good
Texas,139.83,'no credits/all paid',business,14421.0,25.59,1<=X<4,'male single',none,car,none,own,yes,no,good
Texas,0.0,'existing paid',radio/tv,3181.0,0.0,<1,'female div/dep/mar',none,'life insurance',none,own,yes,no,good
Texas,0.0,'existing paid',repairs,5190.0,0.0,>=7,'male single',none,'life insurance',none,own,yes,yes,bad
Texas,0.0,'existing paid',radio/tv,2171.0,0.0,,'female div/dep/mar',,car,bank,own,none,no,bad
Texas,59.47,'existing paid','new car',1007.0,0.0,1<=X<4,'male mar/wid',,'real estate',none,own,none,yes,bad
Texas,0.0,'existing paid',,1819.0,0.0,1<=X<4,'male single',none,'no known property',stores,'for free',yes,yes,good
