state,checking_amt,credit_history,purpose,credit_amount,savings,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,own_telephone,foreign_worker,class
Pennsylvania,"(-5000.0, -2500.0]",'critical/other existing credit',radio/tv,,"[0.0, 0.01)",>=7,'male single',none,'real estate',none,own,yes,no,bad
Pennsylvania,"(50.0, 100.0]",'existing paid',radio/tv,"(5000.0, 7500.0]","[0.01, 20.0)",1<=X<4,'female div/dep/mar',none,,none,own,none,no,bad
Pennsylvania,"(-0.01, 0.01]",'critical/other existing credit',education,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,'male single',,'real estate',none,,none,no,bad
Pennsylvania,"(-5000.0, -2500.0]",'existing paid',furniture/equipment,"(7500.0, 10000.0]","[50.0, 100.0)",4<=X<7,'male single',guarantor,'life insurance',none,'for free',,no,bad
Pennsylvania,"(-10000.0, -7500.0]",'delayed previously',,"(2500.0, 5000.0]","[20.0, 50.0)",1<=X<4,'male single',none,'no known property',none,'for free',none,no,good
Pennsylvania,"(-0.01, 0.01]",'existing paid',education,"(7500.0, 10000.0]","[0.0, 0.01)",1<=X<4,'male single',none,'no known property',none,'for free',yes,yes,bad
Pennsylvania,"(-0.01, 0.01]",'existing paid',,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,'male single',none,'life insurance',none,,none,no,good
Pennsylvania,"(20.0, 50.0]",,'used car',"(5000.0, 7500.0]","[20.0, 50.0)",1<=X<4,'male single',none,car,none,,yes,yes,bad
Pennsylvania,"(-0.01, 0.01]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",,'male div/sep',none,'real estate',none,own,none,yes,good
Rhodes Island,"(100.0, 500.0]",'critical/other existing credit','new car',"(5000.0, 7500.0]","[50.0, 100.0)",unemployed,'male mar/wid',none,car,none,own,none,no,bad
South Carolina,"(100.0, 500.0]",'existing paid','new car',"(1000.0, 2500.0]","[50.0, 100.0)",<1,'female div/dep/mar',none,car,,rent,none,yes,bad
South Carolina,"(-2500.0, -1000.0]",'existing paid',business,"(2500.0, 5000.0]","[50.0, 100.0)",<1,'female div/dep/mar',none,'life insurance',none,rent,none,yes,good
South Carolina,"(0.01, 20.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[50.0, 100.0)",,'female div/dep/mar',none,car,none,own,yes,yes,bad
South Carolina,"(-0.01, 0.01]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",>=7,'male single',none,car,none,own,none,no,good
South Carolina,"(-7500.0, -5000.0]",'existing paid','new car',"(1000.0, 2500.0]","[20.0, 50.0)",1<=X<4,,none,car,none,rent,none,yes,good
South Carolina,"(-1000.0, -500.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[100.0, 500.0)",,'female div/dep/mar',none,car,none,own,none,yes,good
South Carolina,"(-0.01, 0.01]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",,'male single',none,'life insurance',none,own,none,yes,good
South Carolina,"(-10000.0, -7500.0]",'no credits/all paid',business,"(7500.0, 10000.0]","[0.0, 0.01)",<1,'male single',none,car,bank,own,none,yes,bad
South Carolina,"(50.0, 100.0]",'existing paid','used car',,"[0.01, 20.0)",>=7,'female div/dep/mar',none,'no known property',none,'for free',yes,yes,bad
South Carolina,"(-0.01, 0.01]",,radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,'male single',,car,none,own,yes,yes,bad
South Carolina,"(-0.01, 0.01]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,'male single',none,car,none,own,yes,yes,good
South Carolina,"(-1000.0, -500.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[500.0, 1000.0)",1<=X<4,'male single',none,'real estate',none,rent,none,yes,good
South Carolina,"(-7500.0, -5000.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[20.0, 50.0)",,'male single',,'real estate',none,rent,none,yes,bad
South Carolina,"(100.0, 500.0]",'critical/other existing credit','used car',"(1000.0, 2500.0]","[100.0, 500.0)",<1,'male single',none,,none,own,,yes,good
South Carolina,"(-0.01, 0.01]",'critical/other existing credit',,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,'male mar/wid',none,car,none,own,none,yes,bad
South Carolina,"(-0.01, 0.01]",'existing paid',furniture/equipment,,"[0.0, 0.01)",1<=X<4,'male single',none,'real estate',bank,own,yes,no,good
South Carolina,"(-0.01, 0.01]",'no credits/all paid',radio/tv,"(200.0, 500.0]","[0.0, 0.01)",,'male mar/wid',none,car,none,own,none,no,good
South Carolina,"(2500.0, 5000.0]",'all paid',radio/tv,"(200.0, 500.0]","[2500.0, 5000.0)",1<=X<4,'female div/dep/mar',none,'real estate',none,rent,none,no,good
South Carolina,"(100.0, 500.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[50.0, 100.0)",1<=X<4,'male single',guarantor,'real estate',none,own,none,no,good
South Carolina,"(-5000.0, -2500.0]",'delayed previously',business,"(5000.0, 7500.0]","[20.0, 50.0)",>=7,'male single',none,'no known property',,own,yes,yes,good
South Carolina,"(-0.01, 0.01]",'existing paid',business,"(1000.0, 2500.0]","[0.0, 0.01)",,'male mar/wid',,'real estate',bank,own,yes,no,good
South Carolina,"(-7500.0, -5000.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 20.0)",,'male single',none,car,stores,own,none,yes,good
South Carolina,"(50.0, 100.0]",'existing paid','new car',"(5000.0, 7500.0]","[100.0, 500.0)",1<=X<4,'male single',none,car,none,own,yes,no,bad
South Dakota,"(-0.01, 0.01]",'critical/other existing credit',business,"(1000.0, 2500.0]","[0.0, 0.01)",,'male single',none,,none,rent,,yes,bad
South Dakota,"(500.0, 1000.0]",'existing paid',furniture/equipment,,"[20.0, 50.0)",<1,'female div/dep/mar',none,'life insurance',bank,,,yes,good
Tennessee,"(100.0, 500.0]",'critical/other existing credit',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",<1,'male single',none,'life insurance',none,own,none,no,good
Tennessee,"(-0.01, 0.01]",'critical/other existing credit',education,"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,'male single',none,'no known property',bank,'for free',,yes,good
Tennessee,"(5000.0, 7500.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 20.0)",,'male single','co applicant','real estate',stores,own,none,yes,bad
Tennessee,"(5000.0, 7500.0]",'existing paid','domestic appliance',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,'male single',none,car,none,own,yes,yes,good
Tennessee,"(20.0, 50.0]",'existing paid',radio/tv,"(200.0, 500.0]","[0.0, 0.01)",1<=X<4,'male single',none,'real estate',none,own,none,no,good
