state,checking_amt,credit_history,purpose,credit_amount,savings,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,own_telephone,foreign_worker,class
Pennsylvania,0.3750512450450422,'critical/other existing credit',radio/tv,,0.0,>=7,'male single',none,'real estate',none,own,yes,no,bad
Pennsylvania,0.5093018329342951,'existing paid',radio/tv,0.31368988665126,0.0002710236952144959,1<=X<4,'female div/dep/mar',none,,none,own,none,no,bad
Pennsylvania,0.5065834960220637,'critical/other existing credit',education,0.10157367668097282,0.0,4<=X<7,'male single',,'real estate',none,,none,no,bad
Pennsylvania,0.2680338108076117,'existing paid',furniture/equipment,0.4199405744470122,0.00991064821984754,4<=X<7,'male single',guarantor,'life insurance',none,'for free',,no,bad
Pennsylvania,0.021936181313224418,'delayed previously',,0.25420931000330144,0.00428152908987662,1<=X<4,'male single',none,'no known property',none,'for free',none,no,good
Pennsylvania,0.5065834960220637,'existing paid',education,0.4844833278309673,0.0,1<=X<4,'male single',none,'no known property',none,'for free',yes,yes,bad
Pennsylvania,0.5065834960220637,'existing paid',,0.14223616154946628,0.0,>=7,'male single',none,'life insurance',none,,none,no,good
Pennsylvania,0.5085200126188543,,'used car',0.3685484758446132,0.0022251905769793334,1<=X<4,'male single',none,car,none,,yes,yes,bad
Pennsylvania,0.5065834960220637,'existing paid',radio/tv,0.15456146142841426,0.0,,'male div/sep',none,'real estate',none,own,none,yes,good
Rhodes Island,0.5117554990314876,'critical/other existing credit','new car',0.27423792230659183,0.009210503673876758,unemployed,'male mar/wid',none,car,none,own,none,no,bad
South Carolina,0.5132256666681907,'existing paid','new car',0.057499724881699125,0.010729096759761155,<1,'female div/dep/mar',none,car,,rent,none,yes,bad
South Carolina,0.4074802779602363,'existing paid',business,0.2232860129855838,0.00747573692633318,<1,'female div/dep/mar',none,'life insurance',none,rent,none,yes,good
South Carolina,0.5073516001916196,'existing paid',radio/tv,0.07246616044899308,0.009593378417909934,,'female div/dep/mar',none,car,none,own,yes,yes,bad
South Carolina,0.5065834960220637,'critical/other existing credit','new car',0.05221745350500715,0.0,>=7,'male single',none,car,none,own,none,no,good
South Carolina,0.2016420766651274,'existing paid','new car',0.06344228018047761,0.004528891986302549,1<=X<4,,none,car,none,rent,none,yes,good
South Carolina,0.4665719744595202,'existing paid',radio/tv,0.05678441729943876,0.0265646240944367,,'female div/dep/mar',none,car,none,own,none,yes,good
South Carolina,0.5065834960220637,'critical/other existing credit',radio/tv,0.11962143721800375,0.0,,'male single',none,'life insurance',none,own,none,yes,good
South Carolina,0.026982706988071502,'no credits/all paid',business,0.4303950698800485,0.0,<1,'male single',none,car,bank,own,none,yes,bad
South Carolina,0.5098799430830746,'existing paid','used car',,0.00028608056717085686,>=7,'female div/dep/mar',none,'no known property',none,'for free',yes,yes,bad
South Carolina,0.5065834960220637,,radio/tv,0.17497523935292175,0.0,>=7,'male single',,car,none,own,yes,yes,bad
South Carolina,0.5065834960220637,'critical/other existing credit','new car',0.10366457576758006,0.0,1<=X<4,'male single',none,car,none,own,yes,yes,good
South Carolina,0.4626659209147348,'existing paid',radio/tv,0.1318917134367778,0.07983476158518747,1<=X<4,'male single',none,'real estate',none,rent,none,yes,good
South Carolina,0.21547099974955333,'critical/other existing credit','new car',0.10955210740618468,0.004429946827732178,,'male single',,'real estate',none,rent,none,yes,bad
South Carolina,0.5119002805713841,'critical/other existing credit','used car',0.08550676791020137,0.0472086710374615,<1,'male single',none,,none,own,,yes,good
South Carolina,0.5065834960220637,'critical/other existing credit',,0.1000880378562782,0.0,1<=X<4,'male mar/wid',none,car,none,own,none,yes,bad
South Carolina,0.5065834960220637,'existing paid',furniture/equipment,,0.0,1<=X<4,'male single',none,'real estate',bank,own,yes,no,good
South Carolina,0.5065834960220637,'no credits/all paid',radio/tv,0.009684164190601958,0.0,,'male mar/wid',none,car,none,own,none,no,good
South Carolina,0.6375020764720853,'all paid',radio/tv,0.008748761967646087,0.2795878288851032,1<=X<4,'female div/dep/mar',none,'real estate',none,rent,none,no,good
South Carolina,0.515957719726307,'existing paid',radio/tv,0.11912622427643887,0.007231600502469327,1<=X<4,'male single',guarantor,'real estate',none,own,none,no,good
South Carolina,0.3298484162677554,'delayed previously',business,0.3623858259051392,0.002887692943059213,>=7,'male single',none,'no known property',,own,yes,yes,good
South Carolina,0.5065834960220637,'existing paid',business,0.09150434686915374,0.0,,'male mar/wid',,'real estate',bank,own,yes,no,good
South Carolina,0.24892061551966665,'existing paid',furniture/equipment,0.20743919885550788,0.0013486655309483248,,'male single',none,car,stores,own,none,yes,good
South Carolina,0.5099348076666143,'existing paid','new car',0.3090128755364807,0.028513413521931413,1<=X<4,'male single',none,car,none,own,yes,no,bad
South Dakota,0.5065834960220637,'critical/other existing credit',business,0.055793991416309016,0.0,,'male single',none,,none,rent,,yes,bad
South Dakota,0.5563014768225075,'existing paid',furniture/equipment,,0.004446079190542564,<1,'female div/dep/mar',none,'life insurance',bank,,,yes,good
Tennessee,0.5148639840933348,'critical/other existing credit',radio/tv,0.2473863761417409,0.0,<1,'male single',none,'life insurance',none,own,none,no,good
Tennessee,0.5065834960220637,'critical/other existing credit',education,0.3224386486189061,0.0,1<=X<4,'male single',none,'no known property',bank,'for free',,yes,good
Tennessee,0.8609721292995671,'existing paid',radio/tv,0.10179377132166832,0.0005044052105380897,,'male single','co applicant','real estate',stores,own,none,yes,bad
Tennessee,0.7904924756779712,'existing paid','domestic appliance',0.0536480686695279,0.0,1<=X<4,'male single',none,car,none,own,yes,yes,good
Tennessee,0.5090097298274864,'existing paid',radio/tv,0.011444921316165951,0.0,1<=X<4,'male single',none,'real estate',none,own,none,no,good
Tennessee,0.5065834960220637,'existing paid',radio/tv,0.11461428414218115,0.0,,'male single',none,car,bank,own,none,no,good
Tennessee,0.5142198332421463,'existing paid',radio/tv,0.04996148343787829,0.0,1<=X<4,'male div/sep',none,car,none,own,yes,no,bad
Tennessee,0.5146577338996577,'delayed previously',repairs,0.32761087267525035,0.002625273174676923,1<=X<4,'male single',none,'real estate',none,own,,yes,good
Tennessee,0.4601990466770605,,'used car',0.3266754704522945,0.02410175003871767,4<=X<7,'male mar/wid',none,car,none,rent,none,yes,bad
Tennessee,0.06974253778163188,'critical/other existing credit','used car',0.324254429404644,0.0015250460310085525,>=7,'female div/dep/mar',none,'no known property',stores,'for free',none,yes,bad
Tennessee,0.5065834960220637,,'new car',0.06289204357873886,0.0,<1,'female div/dep/mar',none,car,none,own,none,no,good
Tennessee,0.5065834960220637,,radio/tv,,0.0,>=7,'male single',none,car,none,own,none,yes,good
Tennessee,0.4236983504556554,'existing paid','used car',,0.0,unemployed,'female div/dep/mar',none,,none,rent,yes,yes,bad
Texas,0.5065834960220637,'critical/other existing credit','new car',0.3839551006932981,0.0,1<=X<4,'male single',none,'life insurance',none,,none,no,good
Texas,0.5065834960220637,,radio/tv,0.10030813249697368,0.0,,'female div/dep/mar','co applicant','real estate',none,own,none,no,good
