location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
"Lehigh, PA",Pennsylvania,0.3750512450450422,0.029411764705882353,'critical/other existing credit',radio/tv,,0.0,>=7,,'male single',none,1.0,'real estate',0.8571428571428571,none,own,0.3333333333333333,skilled,0.0,yes,no,bad,05/1994,no
"Mifflin, PA",Pennsylvania,0.5093018329342951,0.6470588235294118,'existing paid',radio/tv,0.31368988665126,0.0002710236952144959,1<=X<4,0.3333333333333333,'female div/dep/mar',none,0.3333333333333333,,0.05357142857142857,none,own,0.0,skilled,0.0,none,no,bad,05/1994,no
"Northampton, PA",Pennsylvania,0.5065834960220637,0.11764705882352941,'critical/other existing credit',education,0.10157367668097282,0.0,4<=X<7,0.3333333333333333,'male single',,,'real estate',0.5357142857142857,none,,0.0,'unskilled resident',1.0,none,no,bad,05/1994,no
"Northampton, PA",Pennsylvania,0.26803381080761174,0.5588235294117647,'existing paid',furniture/equipment,0.4199405744470122,0.009910648219847539,4<=X<7,0.3333333333333333,'male single',guarantor,1.0,'life insurance',0.4642857142857143,none,'for free',0.0,skilled,1.0,,no,bad,05/1994,no
"Westmoreland, PA",Pennsylvania,0.02193618131322442,0.29411764705882354,'delayed previously',,0.25420931000330144,0.00428152908987662,1<=X<4,0.6666666666666666,'male single',none,1.0,'no known property',0.6071428571428571,none,'for free',0.3333333333333333,skilled,1.0,none,no,good,05/1994,no
"Westmoreland, PA",Pennsylvania,0.5065834960220637,0.47058823529411764,'existing paid',education,0.4844833278309673,0.0,1<=X<4,,'male single',none,1.0,'no known property',0.2857142857142857,none,'for free',0.0,'unskilled resident',1.0,yes,yes,bad,05/1994,yes
"Philadelphia, PA",Pennsylvania,0.5065834960220637,0.29411764705882354,'existing paid',,0.14223616154946628,0.0,>=7,0.6666666666666666,'male single',none,1.0,'life insurance',,none,,0.0,skilled,0.0,none,no,good,05/1994,no
"Allegheny, PA",Pennsylvania,0.5085200126188543,0.47058823529411764,,'used car',0.3685484758446132,0.0022251905769793334,1<=X<4,0.3333333333333333,'male single',none,0.3333333333333333,car,0.2857142857142857,none,,0.0,'high qualif/self emp/mgmt',,yes,yes,bad,05/1994,yes
"Allegheny, PA",Pennsylvania,0.5065834960220637,0.11764705882352941,'existing paid',radio/tv,0.15456146142841423,0.0,,0.3333333333333333,'male div/sep',none,1.0,'real estate',0.75,none,own,,'unskilled resident',0.0,none,yes,good,05/1994,yes
"Providence, RI",Rhodes Island,0.5117554990314876,0.38235294117647056,'critical/other existing credit','new car',0.27423792230659183,0.009210503673876758,unemployed,1.0,'male mar/wid',none,0.3333333333333333,car,0.16071428571428573,none,own,0.3333333333333333,'high qualif/self emp/mgmt',0.0,none,no,bad,05/1994,no
"Aiken, SC",South Carolina,0.5132256666681907,0.11764705882352941,'existing paid','new car',0.05749972488169913,0.010729096759761155,<1,0.6666666666666666,'female div/dep/mar',none,,car,,,rent,0.0,skilled,0.0,none,yes,bad,05/1994,yes
"Anderson, SC",South Carolina,0.40748027796023634,0.6470588235294118,'existing paid',business,0.2232860129855838,0.007475736926333179,<1,0.6666666666666666,'female div/dep/mar',none,1.0,'life insurance',0.08928571428571429,none,rent,,skilled,,none,yes,good,05/1994,yes
"Anderson, SC",South Carolina,0.5073516001916196,0.11764705882352941,'existing paid',radio/tv,0.07246616044899307,0.009593378417909934,,0.0,'female div/dep/mar',none,0.0,car,0.05357142857142857,none,own,0.0,skilled,0.0,yes,yes,bad,05/1994,yes
"Charleston, SC",South Carolina,0.5065834960220637,0.29411764705882354,'critical/other existing credit','new car',0.05221745350500715,0.0,>=7,1.0,'male single',none,,car,0.7321428571428571,none,own,0.3333333333333333,'unskilled resident',0.0,none,no,good,05/1994,no
"Charleston, SC",South Carolina,0.2016420766651274,0.16176470588235295,'existing paid','new car',0.06344228018047761,0.0045288919863025485,1<=X<4,0.3333333333333333,,none,1.0,car,,none,rent,,skilled,0.0,none,yes,good,05/1994,yes
"Chester, SC",South Carolina,0.46657197445952026,0.29411764705882354,'existing paid',radio/tv,0.056784417299438755,0.0265646240944367,,1.0,'female div/dep/mar',none,,car,0.23214285714285715,none,own,0.0,'unskilled resident',0.0,none,yes,good,05/1994,yes
"Chester, SC",South Carolina,0.5065834960220637,,'critical/other existing credit',radio/tv,0.11962143721800374,0.0,,1.0,'male single',none,1.0,'life insurance',,none,own,0.3333333333333333,skilled,0.0,none,yes,good,05/1994,yes
"Dillon, SC",South Carolina,0.026982706988071505,0.38235294117647056,'no credits/all paid',business,0.43039506988004844,0.0,<1,,'male single',none,0.6666666666666666,car,0.10714285714285714,bank,own,0.6666666666666666,skilled,0.0,none,yes,bad,05/1994,yes
"Dillon, SC",South Carolina,0.5098799430830746,0.29411764705882354,'existing paid','used car',,0.0002860805671708568,>=7,1.0,'female div/dep/mar',none,0.3333333333333333,'no known property',,none,'for free',,'high qualif/self emp/mgmt',,yes,yes,bad,05/1994,yes
"Florence, SC",South Carolina,0.5065834960220637,0.29411764705882354,,radio/tv,0.17497523935292175,0.0,>=7,0.6666666666666666,'male single',,0.3333333333333333,car,0.21428571428571427,none,own,0.0,skilled,,yes,yes,bad,05/1994,yes
"Greenville, SC",South Carolina,0.5065834960220637,,'critical/other existing credit','new car',0.10366457576758006,0.0,1<=X<4,1.0,'male single',none,1.0,car,0.5178571428571429,none,own,0.6666666666666666,skilled,0.0,yes,yes,good,05/1994,yes
"Greenwood, SC",South Carolina,0.4626659209147348,0.029411764705882353,'existing paid',radio/tv,0.1318917134367778,0.07983476158518747,1<=X<4,0.3333333333333333,'male single',none,0.6666666666666666,'real estate',0.44642857142857145,none,rent,0.0,skilled,1.0,none,yes,good,05/1994,yes
"Horry, SC",South Carolina,0.21547099974955333,0.08823529411764706,'critical/other existing credit','new car',0.10955210740618467,0.004429946827732177,,0.0,'male single',,0.6666666666666666,'real estate',0.5178571428571429,none,rent,0.3333333333333333,,1.0,none,yes,bad,05/1994,yes
"Jasper, SC",South Carolina,0.5119002805713841,0.11764705882352941,'critical/other existing credit','used car',0.08550676791020138,0.0472086710374615,<1,0.6666666666666666,'male single',none,1.0,,0.44642857142857145,none,own,0.0,skilled,0.0,,yes,good,05/1994,yes
"Lexington, SC",South Carolina,0.5065834960220637,0.08823529411764706,'critical/other existing credit',,0.1000880378562782,0.0,1<=X<4,0.3333333333333333,'male mar/wid',none,0.0,car,0.125,none,own,0.3333333333333333,skilled,0.0,none,yes,bad,05/1994,yes
"Orangeburg, SC",South Carolina,0.5065834960220637,0.029411764705882353,'existing paid',furniture/equipment,,0.0,1<=X<4,0.0,'male single',none,,'real estate',0.30357142857142855,bank,own,0.0,'unskilled resident',0.0,yes,no,good,06/1994,no
"Richland, SC",South Carolina,0.5065834960220637,0.029411764705882353,'no credits/all paid',radio/tv,0.009684164190601958,0.0,,,'male mar/wid',none,1.0,car,0.35714285714285715,none,own,0.0,'unskilled resident',0.0,none,no,good,06/1994,no
"Richland, SC",South Carolina,0.6375020764720853,0.11764705882352941,'all paid',radio/tv,0.008748761967646087,0.2795878288851032,1<=X<4,0.6666666666666666,'female div/dep/mar',none,,'real estate',0.4107142857142857,none,rent,0.3333333333333333,,,none,no,good,06/1994,no
"Spartanburg, SC",South Carolina,0.515957719726307,0.04411764705882353,'existing paid',radio/tv,0.11912622427643887,0.007231600502469327,1<=X<4,,'male single',guarantor,0.3333333333333333,'real estate',0.26785714285714285,none,own,,,0.0,none,no,good,06/1994,no
"Spartanburg, SC",South Carolina,0.3298484162677554,0.8235294117647058,'delayed previously',business,0.36238582590513924,0.0028876929430592126,>=7,,'male single',none,1.0,'no known property',0.7857142857142857,,own,0.3333333333333333,skilled,0.0,yes,yes,good,06/1994,yes
"Union, SC",South Carolina,0.5065834960220637,0.20588235294117646,'existing paid',business,0.09150434686915374,0.0,,0.6666666666666666,'male mar/wid',,0.6666666666666666,'real estate',0.30357142857142855,bank,own,0.0,skilled,0.0,yes,no,good,06/1994,no
"Williamsburg, SC",South Carolina,0.24892061551966665,0.29411764705882354,'existing paid',furniture/equipment,0.20743919885550788,0.0013486655309483248,,0.3333333333333333,'male single',none,0.3333333333333333,car,0.14285714285714285,stores,own,0.0,skilled,0.0,none,yes,good,06/1994,yes
"York, SC",South Carolina,0.5099348076666143,0.20588235294117646,'existing paid','new car',0.3090128755364807,0.02851341352193141,1<=X<4,0.3333333333333333,'male single',none,0.3333333333333333,car,,none,own,0.3333333333333333,skilled,0.0,yes,no,bad,06/1994,no
"Minnehaha, SD",South Dakota,0.5065834960220637,0.11764705882352941,'critical/other existing credit',business,0.055793991416309016,0.0,,1.0,'male single',none,1.0,,0.6785714285714286,none,rent,0.0,'unskilled resident',0.0,,yes,bad,06/1994,yes
"Hughes, SD",South Dakota,0.5563014768225075,0.11764705882352941,'existing paid',furniture/equipment,,0.004446079190542564,<1,1.0,'female div/dep/mar',none,0.0,'life insurance',0.25,bank,,0.0,'high qualif/self emp/mgmt',0.0,,yes,good,06/1994,yes
"Bradley, TN",Tennessee,0.5148639840933348,0.6029411764705882,'critical/other existing credit',radio/tv,0.24738637614174094,0.0,<1,1.0,'male single',none,0.3333333333333333,'life insurance',0.10714285714285714,none,own,0.3333333333333333,,0.0,none,no,good,06/1994,no
"Bradley, TN",Tennessee,0.5065834960220637,0.6470588235294118,'critical/other existing credit',education,0.32243864861890614,0.0,1<=X<4,0.0,'male single',none,0.6666666666666666,'no known property',0.21428571428571427,bank,'for free',0.0,skilled,0.0,,yes,good,06/1994,yes
"Davidson, TN",Tennessee,0.8609721292995671,0.20588235294117646,'existing paid',radio/tv,0.10179377132166832,0.0005044052105380897,,1.0,'male single','co applicant',0.3333333333333333,'real estate',0.32142857142857145,stores,own,0.0,skilled,0.0,none,yes,bad,06/1994,yes
"Fentress, TN",Tennessee,0.7904924756779712,0.08823529411764706,'existing paid','domestic appliance',0.0536480686695279,0.0,1<=X<4,0.3333333333333333,'male single',none,,car,0.32142857142857145,none,own,0.0,skilled,0.0,yes,yes,good,06/1994,yes
"Hamilton, TN",Tennessee,0.5090097298274864,0.07352941176470588,'existing paid',radio/tv,0.011444921316165951,0.0,1<=X<4,1.0,'male single',none,0.6666666666666666,'real estate',0.08928571428571429,none,own,,skilled,0.0,none,no,good,06/1994,no
"Haywood, TN",Tennessee,0.5065834960220637,0.38235294117647056,'existing paid',radio/tv,0.11461428414218114,0.0,,1.0,'male single',none,0.3333333333333333,car,0.19642857142857142,bank,own,,'high qualif/self emp/mgmt',,none,no,good,06/1994,no
"Knox, TN",Tennessee,0.5142198332421463,,'existing paid',radio/tv,0.04996148343787829,0.0,1<=X<4,0.6666666666666666,'male div/sep',none,0.0,car,0.125,none,own,,skilled,0.0,yes,no,bad,06/1994,no
"McNairy, TN",Tennessee,0.5146577338996577,0.20588235294117646,'delayed previously',repairs,0.32761087267525035,0.0026252731746769227,1<=X<4,0.3333333333333333,'male single',none,1.0,'real estate',0.44642857142857145,none,own,0.0,'unskilled resident',1.0,,yes,good,06/1994,yes
"Madison, TN",Tennessee,0.46019904667706046,0.38235294117647056,,'used car',0.3266754704522945,0.02410175003871767,4<=X<7,0.0,'male mar/wid',none,,car,0.08928571428571429,none,rent,0.3333333333333333,skilled,0.0,none,yes,bad,06/1994,yes
"Robertson, TN",Tennessee,0.06974253778163188,0.6470588235294118,'critical/other existing credit','used car',0.324254429404644,0.0015250460310085522,>=7,1.0,'female div/dep/mar',none,1.0,'no known property',0.6964285714285714,stores,'for free',0.3333333333333333,'unskilled resident',0.0,none,yes,bad,06/1994,yes
"Sevier, TN",Tennessee,0.5065834960220637,0.10294117647058823,,'new car',0.06289204357873886,0.0,<1,1.0,'female div/dep/mar',none,1.0,car,0.2857142857142857,none,own,0.3333333333333333,'high qualif/self emp/mgmt',0.0,none,no,good,06/1994,no
