location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
"Lehigh, PA",Pennsylvania,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit',radio/tv,,"[0.0, 0.01)",>=7,,'male single',none,4.0,'real estate',"(60.0, 70.0]",none,own,2.0,skilled,1.0,yes,no,bad,05/1994,no
"Mifflin, PA",Pennsylvania,"(0.01, 1000.0]","(36.0, 48.0]",'existing paid',radio/tv,"(5000.0, 7500.0]","[0.01, 100.0)",1<=X<4,2.0,'female div/dep/mar',none,2.0,,"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,no,bad,05/1994,no
"Northampton, PA",Pennsylvania,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',education,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,2.0,'male single',,,'real estate',"(40.0, 50.0]",none,,1.0,'unskilled resident',2.0,none,no,bad,05/1994,no
"Northampton, PA",Pennsylvania,"(-10000.0, -1000.0]","(36.0, 48.0]",'existing paid',furniture/equipment,"(7500.0, 10000.0]","[0.01, 100.0)",4<=X<7,2.0,'male single',guarantor,4.0,'life insurance',"(40.0, 50.0]",none,'for free',1.0,skilled,2.0,,no,bad,05/1994,no
"Westmoreland, PA",Pennsylvania,"(-10000.0, -1000.0]","(12.0, 24.0]",'delayed previously',,"(2500.0, 5000.0]","[0.01, 100.0)",1<=X<4,3.0,'male single',none,4.0,'no known property',"(50.0, 60.0]",none,'for free',2.0,skilled,2.0,none,no,good,05/1994,no
"Westmoreland, PA",Pennsylvania,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid',education,"(7500.0, 10000.0]","[0.0, 0.01)",1<=X<4,,'male single',none,4.0,'no known property',"(30.0, 40.0]",none,'for free',1.0,'unskilled resident',2.0,yes,yes,bad,05/1994,yes
"Philadelphia, PA",Pennsylvania,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,3.0,'male single',none,4.0,'life insurance',,none,,1.0,skilled,1.0,none,no,good,05/1994,no
"Allegheny, PA",Pennsylvania,"(0.01, 1000.0]","(24.0, 36.0]",,'used car',"(5000.0, 7500.0]","[0.01, 100.0)",1<=X<4,2.0,'male single',none,2.0,car,"(30.0, 40.0]",none,,1.0,'high qualif/self emp/mgmt',,yes,yes,bad,05/1994,yes
"Allegheny, PA",Pennsylvania,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",,2.0,'male div/sep',none,4.0,'real estate',"(60.0, 70.0]",none,own,,'unskilled resident',1.0,none,yes,good,05/1994,yes
"Providence, RI",Rhodes Island,"(0.01, 1000.0]","(24.0, 36.0]",'critical/other existing credit','new car',"(5000.0, 7500.0]","[0.01, 100.0)",unemployed,4.0,'male mar/wid',none,2.0,car,"(20.0, 30.0]",none,own,2.0,'high qualif/self emp/mgmt',1.0,none,no,bad,05/1994,no
