location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
"Lehigh, PA",Pennsylvania,0.3750512450450422,0.029411764705882353,'critical/other existing credit',radio/tv,,0.0,>=7,,'male single',none,1.0,'real estate',0.8571428571428571,none,own,0.3333333333333333,skilled,0.0,yes,no,bad,05/1994,no
"Mifflin, PA",Pennsylvania,0.5093018329342951,0.6470588235294118,'existing paid',radio/tv,,0.0002710236952144959,1<=X<4,,'female div/dep/mar',none,0.3333333333333333,,0.05357142857142857,none,own,0.0,skilled,0.0,none,no,bad,05/1994,no
"Northampton, PA",Pennsylvania,0.5065834960220637,0.11764705882352941,'critical/other existing credit',education,,0.0,4<=X<7,,'male single',,,'real estate',0.5357142857142857,none,,0.0,'unskilled resident',1.0,none,no,bad,05/1994,no
"Northampton, PA",Pennsylvania,0.26803381080761174,0.5588235294117647,'existing paid',furniture/equipment,,0.009910648219847539,4<=X<7,,'male single',guarantor,1.0,'life insurance',0.4642857142857143,none,'for free',0.0,skilled,1.0,,no,bad,05/1994,no
"Westmoreland, PA",Pennsylvania,0.02193618131322442,0.29411764705882354,'delayed previously',,,0.00428152908987662,1<=X<4,,'male single',none,1.0,'no known property',0.6071428571428571,none,'for free',0.3333333333333333,skilled,1.0,none,no,good,05/1994,no
"Westmoreland, PA",Pennsylvania,0.5065834960220637,0.47058823529411764,'existing paid',education,,0.0,1<=X<4,,'male single',none,1.0,'no known property',0.2857142857142857,none,'for free',0.0,'unskilled resident',1.0,yes,yes,bad,05/1994,yes
"Philadelphia, PA",Pennsylvania,0.5065834960220637,0.29411764705882354,'existing paid',,,0.0,>=7,,'male single',none,1.0,'life insurance',,none,,0.0,skilled,0.0,none,no,good,05/1994,no
"Allegheny, PA",Pennsylvania,0.5085200126188543,0.47058823529411764,,'used car',,0.0022251905769793334,1<=X<4,,'male single',none,0.3333333333333333,car,0.2857142857142857,none,,0.0,'high qualif/self emp/mgmt',,yes,yes,bad,05/1994,yes
"Allegheny, PA",Pennsylvania,0.5065834960220637,0.11764705882352941,'existing paid',radio/tv,,0.0,,,'male div/sep',none,1.0,'real estate',0.75,none,own,,'unskilled resident',0.0,none,yes,good,05/1994,yes
"Providence, RI",Rhodes Island,0.5117554990314876,0.38235294117647056,'critical/other existing credit','new car',,0.009210503673876758,unemployed,,'male mar/wid',none,0.3333333333333333,car,0.16071428571428573,none,own,0.3333333333333333,'high qualif/self emp/mgmt',0.0,none,no,bad,05/1994,no
"Aiken, SC",South Carolina,0.5132256666681907,0.11764705882352941,'existing paid','new car',,0.010729096759761155,<1,,'female div/dep/mar',none,,car,,,rent,0.0,skilled,0.0,none,yes,bad,05/1994,yes
"Anderson, SC",South Carolina,0.40748027796023634,0.6470588235294118,'existing paid',business,,0.007475736926333179,<1,,'female div/dep/mar',none,1.0,'life insurance',0.08928571428571429,none,rent,,skilled,,none,1,good,05/1994,1
"Anderson, SC",South Carolina,0.5073516001916196,0.11764705882352941,'existing paid',radio/tv,,0.009593378417909934,,,'female div/dep/mar',none,0.0,car,0.05357142857142857,none,own,0.0,skilled,0.0,yes,1,bad,05/1994,1
"Charleston, SC",South Carolina,0.5065834960220637,0.29411764705882354,'critical/other existing credit','new car',,0.0,>=7,,'male single',none,,car,0.7321428571428571,none,own,0.3333333333333333,'unskilled resident',0.0,none,no,good,05/1994,no
"Charleston, SC",South Carolina,0.2016420766651274,0.16176470588235295,'existing paid','new car',,0.0045288919863025485,1<=X<4,,,none,1.0,car,,none,rent,,skilled,0.0,none,yes,good,05/1994,yes
"Chester, SC",South Carolina,0.46657197445952026,0.29411764705882354,'existing paid',radio/tv,,0.0265646240944367,,,'female div/dep/mar',none,,car,0.23214285714285715,none,own,0.0,'unskilled resident',0.0,none,1,good,05/1994,1
"Chester, SC",South Carolina,0.5065834960220637,,'critical/other existing credit',radio/tv,,0.0,,,'male single',none,1.0,'life insurance',,none,own,0.3333333333333333,skilled,0.0,none,yes,good,05/1994,yes
"Dillon, SC",South Carolina,0.026982706988071505,0.38235294117647056,'no credits/all paid',business,,0.0,<1,,'male single',none,0.6666666666666666,car,0.10714285714285714,bank,own,0.6666666666666666,skilled,0.0,none,yes,bad,05/1994,yes
"Dillon, SC",South Carolina,0.5098799430830746,0.29411764705882354,'existing paid','used car',,0.0002860805671708568,>=7,,'female div/dep/mar',none,0.3333333333333333,'no known property',,none,'for free',,'high qualif/self emp/mgmt',,yes,1,bad,05/1994,1
"Florence, SC",South Carolina,0.5065834960220637,0.29411764705882354,,radio/tv,,0.0,>=7,,'male single',,0.3333333333333333,car,0.21428571428571427,none,own,0.0,skilled,,yes,yes,bad,05/1994,yes
